business_name,email_to,subject,body,status,sent_date,notes
Tony's Pizza,info@tonyspizzabrooklyn.com,Your New Professional Website – Enhance Tony's Pizza Today,"
Hi Tony's,

I noticed that Tony's Pizza is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to restaurant

Let's get started and elevate Tony's Pizza with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping restaurant businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
Mama's Kitchen,contact@mamaskitchen.com,Your New Professional Website – Enhance Mama's Kitchen Today,"
Hi Mama's,

I noticed that Mama's Kitchen is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to restaurant

Let's get started and elevate Mama's Kitchen with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping restaurant businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
Joe's Auto Repair,service@joesautorepair.com,Your New Professional Website – Enhance Joe's Auto Repair Today,"
Hi Joe's,

I noticed that Joe's Auto Repair is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to services

Let's get started and elevate Joe's Auto Repair with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping services businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
Sunrise Bakery,hello@sunrisebakery.com,Your New Professional Website – Enhance Sunrise Bakery Today,"
Hi Sunrise,

I noticed that Sunrise Bakery is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to restaurant

Let's get started and elevate Sunrise Bakery with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping restaurant businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
City Laundromat,info@citylaundromat.com,Your New Professional Website – Enhance City Laundromat Today,"
Hi City,

I noticed that City Laundromat is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to services

Let's get started and elevate City Laundromat with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping services businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
Green Garden Cafe,hello@greengardencafe.com,Your New Professional Website – Enhance Green Garden Cafe Today,"
Hi Green,

I noticed that Green Garden Cafe is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to restaurant

Let's get started and elevate Green Garden Cafe with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping restaurant businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
Mike's Plumbing,mike@mikesplumbing.com,Your New Professional Website – Enhance Mike's Plumbing Today,"
Hi Mike's,

I noticed that Mike's Plumbing is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to services

Let's get started and elevate Mike's Plumbing with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping services businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
Best Buy Electronics,sales@bestbuyelectronics.com,Your New Professional Website – Enhance Best Buy Electronics Today,"
Hi Best,

I noticed that Best Buy Electronics is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to retail

Let's get started and elevate Best Buy Electronics with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping retail businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
Fashion Boutique,info@fashionboutique.com,Your New Professional Website – Enhance Fashion Boutique Today,"
Hi Fashion,

I noticed that Fashion Boutique is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to retail

Let's get started and elevate Fashion Boutique with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping retail businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
Express Cleaners,help@expresscleaners.com,Your New Professional Website – Enhance Express Cleaners Today,"
Hi Express,

I noticed that Express Cleaners is thriving in New York, but your online presence could be even better. I'm offering a one-time solution to create a stunning, fully functional website for your business.

Here's what you'll get:

✨ Professional 5-Page Website
• Fully responsive and mobile-friendly
• Contact forms and booking system
• Google Maps integration
• SEO optimization for better search rankings
• Stripe payment integration for seamless transactions
• 1-year hosting included

All for just £397 – One-Time Payment!

Perfect for businesses that want to own their website outright and have full control.

📅 Ongoing Support Option

If you prefer continuous support, I also offer a monthly package for only £39/month, which includes:
• Unlimited website edits
• 24/7 priority support (responses within 24 hours)
• Hosting always included
• Stripe maintenance and monthly analytics reports

Why Choose This Service?
✓ Fast and easy website creation
✓ Completely hands-off and automated
✓ Cancel anytime, no long-term commitment
✓ Professional design tailored to services

Let's get started and elevate Express Cleaners with a professional website!

Best regards,
Your Name
your@email.com
+1-555-0123

---
P.S. I specialize in helping services businesses like yours establish a strong online presence. Recent clients have seen increased customer engagement and bookings after launching their new sites.

To unsubscribe from future emails, reply with ""UNSUBSCRIBE"".

123 Business St, City, State 12345, USA
",draft,,
