business_name,address,phone,email,industry,location,google_maps_url,has_website,notes
Tony's Pizza,123 Main St Brooklyn NY,(718) 555-0101,info@tonyspizzabrooklyn.com,restaurant,New York,https://maps.google.com/...,False,Family-owned since 1985
Mama's Kitchen,456 Oak Ave Queens NY,(347) 555-0102,contact@mamaskitchen.com,restaurant,New York,https://maps.google.com/...,False,Home cooking
Joe's Auto Repair,789 First Ave Bronx NY,(718) 555-0103,service@joesautorepair.com,services,New York,https://maps.google.com/...,False,Full service garage
Sunrise Bakery,321 Second St Manhattan NY,(212) 555-0104,hello@sunrisebakery.com,restaurant,New York,https://maps.google.com/...,False,Fresh bread daily
City Laundromat,654 Third Ave Brooklyn NY,(718) 555-0105,info@citylaundromat.com,services,New York,https://maps.google.com/...,False,24/7 open
Green Garden Cafe,987 Park Slope NY,(347) 555-0106,hello@greengardencafe.com,restaurant,New York,https://maps.google.com/...,False,Organic vegetarian
Mike's Plumbing,246 Atlantic Ave Brooklyn NY,(718) 555-0107,mike@mikesplumbing.com,services,New York,https://maps.google.com/...,False,Licensed plumber
Best Buy Electronics,135 Flatbush Ave Brooklyn NY,(718) 555-0108,sales@bestbuyelectronics.com,retail,New York,https://maps.google.com/...,False,Local electronics store
Fashion Boutique,864 Fifth Ave Manhattan NY,(212) 555-0109,info@fashionboutique.com,retail,New York,https://maps.google.com/...,False,Women's clothing
Express Cleaners,753 Court St Brooklyn NY,(718) 555-0110,help@expresscleaners.com,services,New York,https://maps.google.com/...,False,Dry cleaning
Sal's Barber Shop,951 Eighth Ave Brooklyn NY,(718) 555-0111,sals@barbershop.com,services,New York,https://maps.google.com/...,False,Traditional barbers
The Coffee Corner,159 Smith St Brooklyn NY,(347) 555-0112,hello@coffeecorner.com,restaurant,New York,https://maps.google.com/...,False,Artisan coffee
Dragon Chinese Restaurant,357 Canal St Manhattan NY,(212) 555-0113,order@dragonchinese.com,restaurant,New York,https://maps.google.com/...,False,Takeout & delivery
ABC Grocery,486 Grand St Brooklyn NY,(718) 555-0114,info@abcgrocery.com,retail,New York,https://maps.google.com/...,False,Local grocery
Quick Fix Computer Repair,753 Myrtle Ave Brooklyn NY,(347) 555-0115,help@quickfixpc.com,services,New York,https://maps.google.com/...,False,Computer repair
La Fiesta Mexican Grill,852 Ninth Ave Brooklyn NY,(718) 555-0116,info@lafiestamexican.com,restaurant,New York,https://maps.google.com/...,False,Authentic Mexican
